STUDY_TYPE_NAME,DEPARTMENT_NAME,STUDY_YEAR,STD_AVG,STD_GRADEAVG,STD_ADDRESS,SEX,AGE,PERCENTAGE,TAW_YEAR,BIRTH_DATE,NORMAL_SMTR_COUNT,SIFI_SMTR_COUNT,GRADUATE_YEAR,STATUS
1,4,2014,77.9,77.9,3,1,23,80.2,2013,1991,9,1,2018,1
2,3,2016,89.4,89.4,2,2,19,91.7,2015,1997,7,0,2019,1
1,1,2010,59.6,0.0,4,1,25,63.1,2009,1985,2,0,0,0
2,2,2009,85.2,85.2,2,2,20,87.9,2008,1989,8,1,2013,1
1,3,2017,72.4,0.0,1,1,22,74.8,2016,1995,4,1,0,0
2,4,2012,92.6,92.6,2,1,19,94.3,2011,1993,7,2,2016,1
1,1,2014,66.3,0.0,2,2,23,69.7,2013,1991,3,0,0,0
2,3,2015,78.1,78.1,2,1,20,81.4,2014,1995,8,1,2019,1
2,2,2018,97.3,97.3,2,2,18,98.0,2017,2000,6,0,2021,1
1,4,2011,71.8,71.8,3,1,24,74.2,2010,1987,9,2,2015,1
2,1,2013,84.7,84.7,2,1,21,87.1,2012,1992,8,0,2017,1
1,3,2016,63.9,0.0,4,2,22,67.2,2015,1994,4,0,0,0
2,2,2007,88.6,88.6,2,1,20,90.8,2006,1987,8,1,2011,1
2,4,2015,93.1,93.1,2,2,19,94.8,2014,1996,7,0,2018,1
1,1,2012,75.6,75.6,1,1,23,78.3,2011,1989,9,2,2016,1
2,3,2010,81.5,81.5,2,2,20,84.2,2009,1990,7,1,2014,1
1,2,2017,68.4,0.0,3,1,25,71.6,2016,1992,3,0,0,0
2,1,2014,90.2,90.2,2,1,19,92.5,2013,1995,8,0,2018,1
1,4,2016,73.7,0.0,2,2,22,76.4,2015,1994,5,1,0,0
2,3,2012,86.9,86.9,2,1,21,89.3,2011,1991,8,2,2016,1
1,1,2009,61.2,0.0,4,2,24,64.5,2008,1985,3,0,0,0
2,2,2016,94.6,94.6,2,2,19,96.1,2015,1997,7,0,2019,1
1,3,2013,70.9,70.9,3,1,22,73.6,2012,1991,8,1,2017,1
2,4,2010,83.8,83.8,2,1,20,86.5,2009,1990,7,2,2014,1
1,2,2015,65.7,0.0,1,2,23,68.9,2014,1992,4,0,0,0
2,1,2017,91.4,91.4,2,1,19,93.7,2016,1998,6,1,2020,1
1,4,2012,74.3,0.0,2,1,25,77.1,2011,1987,5,0,0,0
2,3,2014,87.6,87.6,2,2,20,90.0,2013,1994,8,1,2018,1
1,1,2016,69.8,0.0,3,1,22,72.5,2015,1994,4,1,0,0
2,2,2011,95.0,95.0,2,1,19,96.7,2010,1992,7,0,2015,1
1,3,2009,62.5,0.0,4,2,24,65.8,2008,1985,3,0,0,0
2,4,2013,80.7,80.7,2,1,21,83.4,2012,1992,8,2,2017,1
1,1,2015,76.1,76.1,1,2,23,78.7,2014,1992,9,1,2019,1
2,3,2017,92.8,92.8,2,1,19,94.5,2016,1998,7,0,2020,1
1,2,2011,64.3,0.0,2,1,22,67.6,2010,1989,4,0,0,0
2,1,2009,85.9,85.9,2,2,21,88.3,2008,1988,8,1,2013,1
1,4,2014,71.6,71.6,3,1,24,74.3,2013,1990,9,2,2018,1
2,3,2016,89.7,89.7,2,1,20,92.0,2015,1996,7,0,2019,1
1,1,2013,60.4,0.0,4,2,25,63.7,2012,1988,3,0,0,0
2,2,2010,84.3,84.3,2,1,21,87.0,2009,1989,8,1,2014,1
1,3,2018,73.0,0.0,1,1,22,75.7,2017,1996,4,1,0,0
2,4,2012,91.9,91.9,2,2,19,93.6,2011,1993,7,0,2016,1
1,2,2016,66.8,0.0,3,1,23,70.1,2015,1993,4,0,0,0
2,1,2014,82.6,82.6,2,1,20,85.3,2013,1994,8,2,2018,1
1,3,2010,75.4,75.4,2,2,22,78.1,2009,1988,9,1,2014,1
2,2,2017,96.1,96.1,2,1,18,97.8,2016,1999,6,0,2020,1
1,4,2015,68.9,0.0,4,2,24,72.2,2014,1991,5,0,0,0
2,3,2013,88.2,88.2,2,1,20,90.6,2012,1993,8,1,2017,1
1,1,2011,63.6,0.0,1,1,23,67.0,2010,1988,3,0,0,0
2,2,2008,83.5,83.5,2,2,21,86.2,2007,1987,8,2,2012,1
1,3,2015,72.7,0.0,3,1,22,75.4,2014,1993,5,1,0,0
2,4,2013,90.5,90.5,2,1,19,92.8,2012,1994,7,0,2017,1
1,2,2016,65.1,0.0,2,2,24,68.4,2015,1992,4,0,0,0
2,1,2018,93.7,93.7,2,1,19,95.4,2017,1999,6,1,2021,1
1,4,2011,74.8,74.8,4,2,23,77.5,2010,1988,9,2,2015,1
2,3,2009,86.4,86.4,2,1,20,89.1,2008,1989,8,1,2013,1
1,1,2017,67.5,0.0,1,1,22,70.8,2016,1995,4,0,0,0
2,2,2012,92.3,92.3,2,2,19,94.0,2011,1993,7,0,2016,1
1,3,2014,71.1,0.0,3,2,25,74.4,2013,1989,5,1,0,0
2,4,2016,84.0,84.0,2,1,21,86.7,2015,1995,8,2,2020,1
1,1,2012,62.9,0.0,2,1,24,66.2,2011,1988,3,0,0,0
2,3,2019,95.5,95.5,2,2,18,97.2,2018,2001,6,0,2022,1
1,2,2013,69.6,0.0,4,1,23,72.9,2012,1990,4,0,0,0
2,1,2015,81.8,81.8,2,1,20,84.5,2014,1995,8,1,2019,1
1,4,2017,76.7,0.0,1,2,22,79.4,2016,1995,5,1,0,0
2,3,2011,90.0,90.0,2,1,21,92.3,2010,1990,8,0,2015,1
1,1,2014,64.4,0.0,3,2,25,67.7,2013,1989,3,0,0,0
2,2,2015,87.1,87.1,2,1,19,89.8,2014,1996,7,1,2019,1
1,3,2016,70.3,0.0,2,1,22,73.6,2015,1994,4,0,0,0
2,4,2018,93.4,93.4,2,2,18,95.1,2017,2000,6,0,2021,1
1,1,2013,75.9,75.9,4,1,24,78.6,2012,1989,9,2,2017,1
